# ra 0.00000000000000000e+00 dec -8.52729075788638369e+01 rotSkyPos 1.18434959915902198e+02 MJD(TAI) 5.97253712509999968e+04
# id xmm ymm xpup ypup ra_obs dec_obs
108 -2.71521179856650008e+02 -1.21479934645098311e+02 -2.63072245061445331e-02 -1.17699838936601315e-02 1.94058132758124060e+01 -8.60535964171963883e+01
109 -2.52015194049051672e+02 -1.30604375724774826e+02 -2.44189967776470701e-02 -1.26549029791796584e-02 1.87553861379927618e+01 -8.59431447025890520e+01
110 -2.50016857860351138e+02 -1.14740108474608618e+02 -2.42263960143773056e-02 -1.11182075097956915e-02 1.77814838973280409e+01 -8.59995826354888919e+01
111 -2.40961049064243355e+02 -1.11578585702173712e+02 -2.33499415706199497e-02 -1.08123427699036347e-02 1.70925894384333219e+01 -8.59771688855114888e+01
112 -2.48206694892534586e+02 -1.13078234219164699e+02 -2.40512599002165491e-02 -1.09572950940756090e-02 1.75863468366028712e+01 -8.59992620458872778e+01
113 -2.64196337746046424e+02 -1.20919143930318896e+02 -2.55984334690938613e-02 -1.17160619539525522e-02 1.89419618511877026e+01 -8.60284837105326403e+01
114 -2.47175211370645798e+02 -1.11000612348513357e+02 -2.39515117740219489e-02 -1.07560643271884335e-02 1.74125162853828108e+01 -8.60035610311212366e+01
115 -2.65223338270529268e+02 -1.24081166057113904e+02 -2.56976477416362668e-02 -1.20222983297752026e-02 1.91733383211703412e+01 -8.60194069862847783e+01
116 -2.68900239697501263e+02 -1.36225393022941006e+02 -2.60527481217910570e-02 -1.31983737024971293e-02 2.00362405800823566e+01 -8.59829697386591931e+01
117 -2.49572087822102333e+02 -1.15033129755062220e+02 -2.41833306855680982e-02 -1.11466159574923687e-02 1.77721467560831776e+01 -8.59967007650856772e+01
118 -2.68320145976768288e+02 -1.35345321448064936e+02 -2.59966689922044650e-02 -1.31131693765308890e-02 1.99557129980920180e+01 -8.59844844916019611e+01
119 -2.68758699191100334e+02 -1.17970094711445043e+02 -2.60400987800184017e-02 -1.14301525071374508e-02 1.90509208104756453e+01 -8.60576598514781779e+01
120 -2.51546427972847482e+02 -1.15482481737200033e+02 -2.43744117088603822e-02 -1.11900517837100928e-02 1.79100393929934398e+01 -8.60024745808529048e+01
121 -2.68747641329922658e+02 -1.37626472121787231e+02 -2.60378953953686321e-02 -1.33340842249160315e-02 2.01006809457926430e+01 -8.59765888823784081e+01
122 -2.66423133434158501e+02 -1.24036512372160999e+02 -2.58137564266100253e-02 -1.20179065425354351e-02 1.92416279467400777e+01 -8.60240769808257539e+01
123 -2.70139669680502266e+02 -1.32598895820531368e+02 -2.61729014572468048e-02 -1.28470499640245574e-02 1.99185167242789873e+01 -8.60025787395531864e+01
124 -2.46986766401166250e+02 -1.17800919159463078e+02 -2.39329477931300091e-02 -1.14148757413459773e-02 1.77764505780815902e+01 -8.59756861542113739e+01
